epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7069.95,1.07877,1.20478,1.25563,0.58702,0.91346,0.90962,0.65622,1.0232,2.60889,1.07788,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7287.87,1.07419,1.18465,1.25361,0.53121,0.91911,0.90793,0.6601,1.03302,2.55453,1.08754,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7505.39,1.06676,1.18262,1.24586,0.59267,0.91499,0.90991,0.65777,1.0204,2.58819,1.08554,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7754.6,1.05155,1.17273,1.23982,0.46825,0.92155,0.91442,0.67702,0.97798,2.33781,1.05453,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8008.28,1.04134,1.15252,1.23214,0.48982,0.91529,0.91149,0.66444,1.01311,2.55071,1.08692,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8283.61,1.03345,1.14658,1.23279,0.49273,0.91316,0.91188,0.66968,0.99936,2.31161,1.05964,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8574.54,1.03187,1.14083,1.22648,0.56046,0.90736,0.90518,0.65264,1.07471,2.58891,1.10756,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8865.18,1.02346,1.12557,1.22125,0.63795,0.91117,0.91128,0.67324,0.98023,2.45535,1.04873,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9148.15,1.02121,1.12102,1.22089,0.57395,0.91743,0.91044,0.68556,0.95375,2.33666,1.04567,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9435.19,1.00749,1.10273,1.21461,0.5152,0.91926,0.91267,0.6705,0.99103,2.33514,1.06468,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9722.14,0.99615,1.08241,1.2082,0.59977,0.91712,0.91118,0.67876,0.95406,2.58906,1.05983,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10007.7,0.98848,1.08687,1.20274,0.5563,0.92125,0.91326,0.67934,0.98477,2.40691,1.06485,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10296.9,0.98735,1.06822,1.20121,0.55031,0.91712,0.91166,0.68331,0.96186,2.46811,1.05669,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10582.8,0.98941,1.0838,1.19953,0.44491,0.92323,0.91637,0.67427,0.96594,2.20607,1.06245,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10869,0.98263,1.06953,1.19461,0.5224,0.91911,0.91227,0.66759,0.9912,2.33937,1.07248,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11160,0.97666,1.06552,1.18951,0.49422,0.92338,0.91124,0.66936,0.97805,2.43303,1.06288,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,11440,0.96657,1.0577,1.1834,0.5399,0.97466,0.96619,0.71776,0.98458,2.40085,1.06003,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,11720.8,0.9585,1.04892,1.18091,0.43191,0.92323,0.91565,0.67058,0.96872,2.09505,1.05208,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11992.1,0.96048,1.04574,1.18179,0.53342,0.91743,0.91072,0.68691,0.93846,2.3665,1.04833,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12263.8,0.94889,1.03027,1.17158,0.60496,0.97482,0.97155,0.74031,0.94424,2.3219,1.04387,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,12501.2,0.94915,1.025,1.16874,0.5832,0.92338,0.91776,0.6814,0.94072,2.34397,1.04238,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,12717.4,0.93889,1.01995,1.17203,0.54237,0.92338,0.91993,0.69503,0.92707,2.25361,1.03141,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,12933.4,0.94044,1.02143,1.16838,0.56797,0.92338,0.91867,0.69607,0.91787,2.36026,1.02896,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
