epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,161.168,0.71393,8.25289,0.63244,0,0,0,0,0.62668,3.92975,0.57591,0.00998051,0.00332684,0.00998051,0.00332684,0.00998051,0.00332684,0.00998051,0.00332684
2,290.434,0.80417,3.19205,0.59279,0,0,0,0,1.04736,3.41592,0.71827,0.0197827,0.00659423,0.0197827,0.00659423,0.0197827,0.00659423,0.0197827,0.00659423
3,406.739,1.16188,3.06887,0.71497,0,0,0,0,2.59109,3.81256,5.3954,0.0293869,0.00979563,0.0293869,0.00979563,0.0293869,0.00979563,0.0293869,0.00979563
4,516.321,1.29395,2.97437,0.7785,0,0,0,0,1.31954,3.0592,0.90176,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,634.609,1.12458,2.79523,0.72413,0.01084,0.10906,0.00705,0.00344,1.06277,2.42526,0.75512,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,745.487,1.02947,2.69353,0.67162,0,0,0,0,0.84174,2.96254,0.65652,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,862.712,0.92263,2.63867,0.60714,0.00443,0.15173,0.00412,0.00277,0.77728,2.38772,0.6289,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,992.052,1.03029,2.82202,0.69283,0.00828,0.18307,0.00619,0.00355,0.87251,2.25528,0.65938,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1111.61,0.84871,2.59889,0.59913,0.00288,0.01248,0.00159,0.00082,0.80963,2.39259,0.64164,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
